tag_id;taggable_id;taggable_type
79;147;Proposal
120;148;Proposal
4;148;Proposal
181;148;Proposal
65;148;Proposal
15;148;Proposal
130;149;Proposal
65;149;Proposal
23;149;Proposal
15;149;Proposal
67;149;Proposal
120;150;Proposal
185;150;Proposal
5;150;Proposal
45;150;Proposal
155;150;Proposal
10;151;Proposal
5;151;Proposal
20;151;Proposal
60;151;Proposal
70;151;Proposal
110;152;Proposal
4;152;Proposal
181;152;Proposal
65;152;Proposal
111;152;Proposal
50;153;Proposal
45;153;Proposal
0;153;Proposal
46;153;Proposal
10;153;Proposal
165;154;Proposal
166;154;Proposal
195;154;Proposal
167;154;Proposal
65;154;Proposal
120;155;Proposal
65;155;Proposal
69;155;Proposal
23;155;Proposal
67;155;Proposal
90;156;Proposal
70;156;Proposal
75;156;Proposal
115;156;Proposal
100;156;Proposal
0;157;Proposal
100;157;Proposal
145;157;Proposal
25;157;Proposal
26;157;Proposal
105;158;Proposal
60;158;Proposal
10;158;Proposal
61;158;Proposal
91;158;Proposal
170;159;Proposal
70;159;Proposal
41;159;Proposal
128;159;Proposal
173;159;Proposal
70;160;Proposal
50;160;Proposal
4;160;Proposal
10;160;Proposal
60;160;Proposal
10;161;Proposal
0;161;Proposal
130;161;Proposal
75;161;Proposal
55;161;Proposal
105;162;Proposal
155;162;Proposal
20;162;Proposal
4;162;Proposal
181;162;Proposal
15;163;Proposal
190;163;Proposal
4;163;Proposal
181;163;Proposal
5;163;Proposal
190;164;Proposal
187;164;Proposal
140;164;Proposal
192;164;Proposal
20;164;Proposal
120;165;Proposal
110;165;Proposal
111;165;Proposal
112;165;Proposal
69;165;Proposal
125;166;Proposal
105;166;Proposal
170;166;Proposal
35;166;Proposal
128;166;Proposal
115;167;Proposal
116;167;Proposal
36;167;Proposal
35;167;Proposal
135;167;Proposal
145;168;Proposal
91;168;Proposal
147;168;Proposal
148;168;Proposal
149;168;Proposal
0;169;Proposal
20;169;Proposal
15;169;Proposal
1;169;Proposal
150;169;Proposal
190;170;Proposal
187;170;Proposal
192;170;Proposal
193;170;Proposal
194;170;Proposal
155;171;Proposal
120;171;Proposal
105;171;Proposal
108;171;Proposal
110;171;Proposal
135;172;Proposal
120;172;Proposal
65;172;Proposal
69;172;Proposal
136;172;Proposal
65;173;Proposal
23;173;Proposal
67;173;Proposal
68;173;Proposal
69;173;Proposal
55;174;Proposal
15;174;Proposal
110;174;Proposal
1;174;Proposal
37;174;Proposal
85;175;Proposal
10;175;Proposal
155;175;Proposal
20;175;Proposal
86;175;Proposal
120;176;Proposal
15;176;Proposal
65;176;Proposal
69;176;Proposal
16;176;Proposal
15;177;Proposal
105;177;Proposal
60;177;Proposal
16;177;Proposal
17;177;Proposal
120;178;Proposal
65;178;Proposal
69;178;Proposal
23;178;Proposal
67;178;Proposal
5;179;Proposal
130;179;Proposal
65;179;Proposal
6;179;Proposal
23;179;Proposal
125;180;Proposal
74;180;Proposal
127;180;Proposal
100;180;Proposal
25;180;Proposal
80;181;Proposal
100;181;Proposal
25;181;Proposal
26;181;Proposal
27;181;Proposal
165;182;Proposal
70;182;Proposal
166;182;Proposal
60;182;Proposal
105;182;Proposal
185;183;Proposal
45;183;Proposal
70;183;Proposal
15;183;Proposal
65;183;Proposal
45;184;Proposal
95;184;Proposal
70;184;Proposal
46;184;Proposal
15;184;Proposal
0;185;Proposal
120;185;Proposal
60;185;Proposal
90;185;Proposal
10;185;Proposal
70;186;Proposal
195;186;Proposal
60;186;Proposal
145;186;Proposal
105;186;Proposal
120;187;Proposal
65;187;Proposal
69;187;Proposal
60;187;Proposal
23;187;Proposal
125;188;Proposal
55;188;Proposal
74;188;Proposal
127;188;Proposal
70;188;Proposal
190;189;Proposal
187;189;Proposal
70;189;Proposal
192;189;Proposal
193;189;Proposal
70;190;Proposal
65;190;Proposal
190;190;Proposal
185;190;Proposal
187;190;Proposal
155;191;Proposal
45;191;Proposal
65;191;Proposal
46;191;Proposal
23;191;Proposal
65;192;Proposal
150;192;Proposal
23;192;Proposal
67;192;Proposal
195;192;Proposal
70;193;Proposal
150;193;Proposal
10;193;Proposal
0;193;Proposal
151;193;Proposal
0;194;Proposal
130;194;Proposal
1;194;Proposal
2;194;Proposal
3;194;Proposal
35;195;Proposal
70;195;Proposal
36;195;Proposal
65;195;Proposal
37;195;Proposal
185;196;Proposal
20;196;Proposal
0;196;Proposal
187;196;Proposal
190;196;Proposal
125;197;Proposal
75;197;Proposal
100;197;Proposal
74;197;Proposal
25;197;Proposal
15;198;Proposal
65;198;Proposal
23;198;Proposal
67;198;Proposal
68;198;Proposal
125;199;Proposal
145;199;Proposal
60;199;Proposal
70;199;Proposal
65;199;Proposal
110;200;Proposal
111;200;Proposal
112;200;Proposal
65;200;Proposal
113;200;Proposal
65;201;Proposal
120;201;Proposal
23;201;Proposal
150;201;Proposal
69;201;Proposal
70;202;Proposal
100;202;Proposal
105;202;Proposal
25;202;Proposal
5;202;Proposal
175;203;Proposal
11;203;Proposal
65;203;Proposal
145;203;Proposal
80;203;Proposal
195;204;Proposal
20;204;Proposal
5;204;Proposal
196;204;Proposal
91;204;Proposal
65;205;Proposal
4;205;Proposal
181;205;Proposal
23;205;Proposal
67;205;Proposal
45;206;Proposal
50;206;Proposal
120;206;Proposal
46;206;Proposal
47;206;Proposal
190;207;Proposal
187;207;Proposal
192;207;Proposal
4;207;Proposal
193;207;Proposal
65;208;Proposal
105;208;Proposal
23;208;Proposal
140;208;Proposal
